Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;
280390605000009;5;7;4;10;10;9;10;6;6;5;5;7;9;10;8;10;9;3;5;3;4;4;1;5;2;2;0;1;0;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;2;1;0;1;0;4;5;4;2;3;5;2;2;3;1;4;1;4;3;4;2;1;1;1;2;1;1;1;1;1;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;3;7;2;5;5;3;3;3;3;6;4;1;8;6;3;4;2;3;2;1;4;2;2;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
280390605000010;5;11;6;11;3;11;9;5;8;5;6;7;7;12;6;6;10;14;6;6;7;6;5;1;2;3;5;0;3;2;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;1;0;2;1;4;1;1;6;2;1;1;1;0;0;0;1;1;1;3;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;5;3;4;5;5;3;3;4;4;4;9;3;4;5;9;6;5;2;5;2;0;2;2;4;0;2;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280390605000011;8;4;4;7;3;7;5;2;5;6;10;9;10;4;5;8;9;9;4;4;1;4;4;4;1;3;2;1;1;2;1;2;0;1;1;2;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;3;2;3;1;1;1;2;3;3;0;2;3;1;4;1;2;4;0;1;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;1;2;1;1;3;3;4;2;3;1;3;3;5;6;2;1;1;2;3;2;1;3;1;1;0;2;0;2;0;1;1;2;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
280390605000012;8;10;6;9;12;3;6;6;5;6;18;9;7;6;5;8;9;6;7;4;4;6;7;4;2;3;4;1;3;1;1;2;1;1;0;0;1;2;1;0;1;0;0;2;0;0;0;0;0;0;0;0;4;1;1;2;1;3;3;2;6;1;3;6;3;3;5;5;2;3;0;0;4;0;4;1;1;0;1;0;2;0;0;0;0;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;4;1;1;1;0;3;0;2;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;3;6;1;5;4;4;2;10;5;4;5;2;4;7;3;4;3;2;3;5;1;2;2;1;1;2;1;0;2;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
280390605000013;5;2;1;2;3;2;1;4;2;0;3;4;2;1;2;2;5;3;1;6;2;2;3;3;5;1;4;3;5;2;1;3;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;3;0;2;1;0;1;0;1;0;2;1;0;2;0;0;1;2;0;2;1;1;1;1;2;1;0;1;0;0;2;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;3;2;0;2;3;1;1;1;1;2;2;1;3;1;2;3;2;4;1;2;1;4;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280390605000014;5;11;11;13;14;14;12;12;10;8;13;12;5;15;8;6;20;14;13;5;9;6;6;5;4;2;3;5;5;5;2;0;1;1;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;3;4;1;4;2;1;4;2;7;4;4;7;7;5;5;8;3;4;4;3;2;1;2;6;1;4;1;5;1;1;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;1;1;2;2;2;1;2;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;4;5;10;5;5;5;7;7;7;1;7;2;5;16;8;10;4;8;4;5;3;2;2;1;4;2;4;2;0;0;0;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0
280390605000015;8;12;12;9;10;17;17;9;7;11;16;13;19;13;18;16;10;18;10;11;7;6;5;6;1;3;3;2;2;2;4;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;2;1;4;4;5;3;5;9;6;3;5;6;3;2;3;2;2;1;3;1;1;1;1;1;0;0;1;1;1;1;1;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;3;5;10;5;2;4;7;7;4;8;7;8;8;3;11;4;9;3;3;5;3;1;3;3;1;2;2;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
280390605000016;5;3;3;4;6;4;6;1;3;4;1;11;8;2;6;5;3;7;5;6;6;4;5;2;2;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;2;0;2;1;0;2;1;1;0;3;2;7;7;4;5;4;3;1;4;2;4;1;1;2;2;1;2;1;3;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;3;1;3;0;1;1;0;6;6;0;1;3;3;4;4;2;3;3;4;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;2
280390605000017;5;4;3;4;7;2;6;5;6;4;5;3;6;7;4;2;4;7;4;3;3;6;5;3;0;1;2;5;4;1;2;0;1;0;2;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;1;4;2;0;4;2;2;2;1;2;2;1;1;5;2;2;1;2;2;1;1;2;0;1;2;1;0;3;4;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;1;4;3;5;0;4;0;4;3;1;2;2;4;2;1;2;5;4;1;0;1;1;1;4;0;2;0;1;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
280390605000018;8;11;11;10;8;5;11;4;7;8;14;7;8;10;4;6;6;5;4;2;7;4;4;3;2;1;2;2;3;0;2;3;1;0;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;1;0;3;0;0;0;1;0;2;1;5;2;1;2;2;5;1;3;2;1;2;1;2;2;2;0;0;0;1;0;1;2;2;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;2;1;0;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;8;6;2;5;2;5;5;8;3;3;4;3;4;1;5;3;1;3;3;3;2;1;1;1;2;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
280390605000019;8;3;4;0;3;1;1;0;1;2;2;0;1;2;3;3;1;0;2;1;0;1;1;3;3;0;0;0;3;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;1;0;1;0;0;0;1;0;3;2;0;0;1;1;0;1;0;1;3;0;0;0;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280390605000020;1;8;12;11;13;12;14;11;10;11;8;8;7;9;10;5;7;4;8;1;4;4;3;5;3;1;4;1;3;3;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;3;6;3;8;5;9;8;10;6;6;6;2;5;3;1;0;0;0;2;3;2;0;3;0;3;1;2;1;1;0;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;1;2;0;1;1;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;4;2;5;7;5;5;6;1;4;4;3;4;2;2;1;3;0;3;2;2;2;3;0;3;1;1;3;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
280390605000021;1;11;5;7;10;6;4;6;5;8;9;3;9;5;9;7;4;10;4;6;5;1;7;7;1;1;0;1;3;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;2;2;2;2;8;2;3;2;2;1;4;1;5;4;4;2;4;1;4;2;0;1;0;0;1;0;2;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;2;3;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;3;6;3;1;4;1;6;3;2;4;1;4;3;3;6;0;4;3;1;3;4;0;1;0;0;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280400305000001;1;9;5;7;8;8;5;6;5;2;8;3;8;7;1;6;7;5;4;5;3;3;3;7;3;3;2;2;1;1;2;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;3;1;5;3;7;2;1;3;1;5;5;2;5;4;2;3;2;1;4;2;2;2;3;6;1;2;2;4;2;1;1;3;2;3;1;2;1;1;1;1;2;2;1;2;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;3;5;4;3;3;5;1;1;3;2;4;0;5;3;1;1;2;2;1;1;5;2;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
280400305000002;1;3;4;6;6;2;6;4;6;5;3;3;5;6;3;5;10;6;1;5;7;3;1;5;1;3;5;0;3;1;3;2;3;2;2;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;3;4;1;1;2;2;4;0;1;1;1;2;2;2;4;4;0;1;5;2;1;1;2;3;3;4;3;2;1;1;0;1;1;1;0;2;1;1;2;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;2;5;2;4;4;3;2;2;2;3;1;5;4;0;1;5;1;0;4;1;2;4;0;1;1;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
280400305000003;1;1;9;8;4;11;4;11;7;3;8;8;7;10;6;9;8;12;4;3;8;5;7;2;0;1;1;2;1;1;0;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;2;3;1;3;0;3;0;0;1;5;1;2;1;6;1;3;2;2;4;0;1;1;2;4;1;1;2;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;5;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;6;3;5;4;0;3;7;4;5;4;5;5;5;2;1;4;2;4;0;0;1;0;1;1;1;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280400305000004;1;8;13;3;13;11;11;5;9;7;7;6;8;9;11;10;8;11;15;9;8;4;8;11;6;7;5;2;5;3;1;1;1;3;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;1;1;1;1;1;4;4;1;0;3;2;4;9;3;4;4;1;1;4;0;2;4;4;2;2;3;2;0;2;0;2;3;0;2;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;2;9;5;3;3;3;5;4;3;1;4;3;4;5;7;9;7;4;2;3;6;5;6;5;2;3;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
280400305000005;1;6;9;11;11;13;9;12;9;12;12;15;16;8;14;12;16;19;15;13;10;13;16;12;5;6;12;6;4;6;3;4;3;5;5;2;4;5;2;0;4;1;1;0;1;0;1;0;0;0;0;0;0;2;2;4;0;3;3;1;4;6;5;8;2;6;3;6;7;5;1;2;4;6;2;4;7;4;2;5;1;7;4;4;2;2;3;0;2;2;1;1;1;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;4;2;0;2;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;4;5;3;3;6;6;7;5;7;8;4;10;4;10;13;8;8;5;4;9;7;5;5;10;4;1;4;2;2;2;3;3;2;3;5;2;0;2;0;0;0;1;0;0;0;0;0;0;0
280400305000006;1;12;6;15;7;10;11;10;10;13;14;13;14;9;5;8;4;10;6;4;7;0;8;2;3;0;2;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;9;3;5;5;4;1;6;5;3;5;8;6;7;1;2;3;3;4;2;2;3;0;1;3;1;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;4;0;2;1;1;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;10;2;6;4;6;3;8;11;8;7;6;3;3;3;3;2;3;4;0;5;1;3;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280400305000007;1;10;4;7;7;8;10;5;11;7;5;10;6;4;5;7;6;8;4;5;8;3;5;6;2;3;2;3;3;1;1;2;2;1;1;2;1;3;1;0;1;0;0;1;2;0;0;0;0;0;0;0;1;0;2;1;3;0;1;2;7;4;1;4;5;5;4;7;6;3;0;1;7;4;2;2;6;2;5;2;4;1;3;5;3;1;2;2;5;0;2;1;4;0;3;0;2;1;2;0;0;1;5;0;1;0;0;0;1;0;0;1;0;2;0;2;1;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;1;4;3;6;3;3;7;5;4;8;3;2;3;6;2;5;0;4;5;2;2;3;1;1;1;3;2;0;0;1;2;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
280400305000008;1;8;9;20;14;10;15;18;8;8;10;8;12;8;9;8;8;8;5;4;5;3;5;3;6;6;3;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;3;3;2;1;2;2;2;3;4;3;7;6;3;5;6;2;6;5;2;4;3;4;3;3;5;5;0;2;2;2;4;0;1;4;1;2;2;1;4;1;1;1;2;1;1;0;0;1;1;3;0;0;1;0;0;3;2;0;0;3;0;6;1;0;1;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;9;9;4;9;10;6;6;6;4;8;5;4;0;3;5;3;1;2;2;3;2;5;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
280400305000009;1;3;4;2;3;5;1;2;2;2;1;3;4;2;2;5;1;4;5;0;2;3;2;0;3;2;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;3;1;1;1;2;1;0;2;1;2;0;0;1;0;1;0;0;1;1;1;0;0;1;1;2;3;1;1;1;0;0;1;0;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;3;2;1;1;1;1;0;2;1;1;2;4;0;2;1;0;0;2;2;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
280400305000010;1;5;8;12;10;6;7;7;1;6;10;5;7;7;9;7;2;4;7;1;3;9;5;4;7;4;1;3;0;2;3;0;1;2;2;0;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;3;5;3;1;4;4;7;3;5;5;3;6;3;1;3;3;2;0;1;0;5;2;4;2;2;0;1;3;0;0;0;3;3;1;2;0;1;0;1;0;1;4;0;0;0;0;0;1;0;1;1;2;3;0;1;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;3;8;7;4;3;4;0;2;6;3;5;4;5;1;2;2;6;0;2;5;3;2;4;4;1;1;0;0;2;0;1;2;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
280400305000011;2;9;9;5;7;6;5;2;3;5;5;6;5;2;1;3;1;2;4;1;1;3;3;2;3;3;2;1;1;3;0;3;0;0;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;5;3;2;6;3;7;6;6;8;2;9;10;5;5;1;4;5;7;1;0;2;1;0;0;1;4;1;3;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;1;3;1;1;2;0;4;2;4;1;2;0;1;1;2;3;1;0;3;2;0;2;2;2;0;1;2;0;3;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
280400305000012;1;12;6;7;5;8;7;2;6;5;4;8;7;4;7;8;5;7;3;8;4;7;6;9;9;6;5;0;3;2;1;1;2;3;1;1;1;5;4;1;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;4;0;3;0;2;2;4;1;4;1;0;4;3;3;3;2;4;3;5;7;2;2;6;6;1;4;3;3;3;3;2;2;2;1;0;2;0;2;0;3;1;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;5;3;4;2;1;1;4;3;3;2;3;3;7;2;5;3;5;3;4;1;5;7;3;3;0;1;2;1;1;2;1;0;0;1;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0
280400305000013;8;4;2;5;2;1;3;2;0;2;3;0;2;6;0;1;2;0;0;3;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;1;2;1;0;1;1;0;1;3;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
280400305000014;5;13;4;11;5;8;9;10;3;7;6;7;4;1;5;1;8;5;6;5;4;2;2;3;0;1;3;0;1;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;2;4;4;0;2;4;4;5;3;3;7;5;4;5;2;2;4;1;1;3;0;0;0;1;2;2;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;2;0;1;1;1;2;1;0;2;1;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;6;4;4;4;4;1;2;5;5;1;0;3;0;4;4;4;2;2;0;1;3;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280400305000015;5;9;17;19;15;11;13;11;10;8;11;13;7;6;13;8;8;3;6;3;3;6;2;3;0;3;1;0;2;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;5;6;4;1;6;5;2;9;2;8;4;8;6;10;5;5;5;2;1;4;2;2;2;1;0;2;0;0;0;3;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;2;3;2;2;3;0;1;0;2;0;0;0;0;1;1;0;1;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;9;8;5;7;7;4;1;7;8;5;3;6;3;4;2;3;1;2;4;2;2;0;2;1;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
280400305000016;8;9;8;9;4;9;8;5;4;7;4;7;1;3;6;3;4;3;7;2;1;2;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;3;1;0;3;2;3;3;2;5;2;3;10;4;4;3;4;3;1;0;1;1;2;4;1;2;2;1;2;3;1;1;1;1;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;6;2;4;6;2;3;4;1;3;1;1;3;3;3;2;5;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
280400305000017;5;7;5;4;12;9;5;14;5;8;14;9;8;8;7;7;7;12;3;7;7;1;1;4;1;2;3;4;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;4;0;2;2;3;2;3;2;4;4;6;6;10;4;6;11;5;3;3;5;4;4;1;5;1;0;4;0;0;1;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;6;6;3;6;3;2;7;7;4;5;4;4;3;8;2;5;4;1;0;2;0;1;2;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
280400305000018;8;5;6;3;4;0;3;7;1;2;4;2;4;1;3;7;3;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;2;1;0;2;0;1;3;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;2;0;2;2;0;0;0;2;3;1;3;3;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280400305000019;5;3;1;3;5;5;1;5;1;5;4;1;1;3;3;0;3;1;1;1;1;3;2;1;2;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;2;0;2;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;4;1;4;0;2;2;1;1;2;2;0;2;1;0;1;1;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
